train_acc,test_acc
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.9125,0.895
0.93625,0.935
0.9575,0.945
0.95875,0.95
0.96625,0.955
0.96875,0.945
0.9675,0.95
0.96875,0.945
0.96875,0.945
0.97,0.945
0.96625,0.945
0.97125,0.95
0.97125,0.95
0.97375,0.955
0.97375,0.96
0.97375,0.96
0.97375,0.955
0.975,0.96
0.975,0.955
0.9725,0.96
0.975,0.965
0.97625,0.955
0.97625,0.965
0.975,0.965
0.97875,0.96
0.97875,0.965
0.97875,0.965
0.98125,0.97
0.9775,0.955
0.98125,0.97
0.97875,0.965
0.98,0.955
0.9825,0.975
0.9825,0.97
0.985,0.975
0.98375,0.975
0.98375,0.98
0.98625,0.98
0.9875,0.98
0.98625,0.985
0.985,0.985
0.9875,0.98
0.9875,0.975
0.98875,0.985
0.9875,0.985
0.99375,0.985
0.99125,0.985
0.9875,0.98
0.99,0.99
0.9925,0.99
0.9925,0.985
0.9925,0.985
0.9925,0.99
0.995,0.995
0.9925,0.985
0.99375,0.995
0.9925,0.995
0.995,0.995
0.99375,0.995
0.9925,0.995
0.99375,0.995
0.9975,0.995
0.995,0.995
0.9925,0.995
0.9925,0.995
0.99625,0.995
0.995,0.995
0.99375,0.995
0.99625,0.995
0.99625,0.995
0.995,0.995
0.995,0.995
0.995,0.995
0.995,0.995
0.995,0.995
0.9975,0.995
0.995,0.995
0.99625,0.995
0.99625,0.995
0.995,0.995
0.995,1.0
0.9975,0.995
0.99625,0.995
0.9975,0.995
0.9975,0.995
0.995,0.995
0.995,0.995
0.99375,0.995
0.995,0.995
0.99625,0.995
0.9975,0.995
0.9975,0.995
0.9975,0.995
0.99625,0.99
0.995,0.995
0.9975,0.995
0.99625,0.99
0.99625,0.99
0.99625,0.99
0.99625,0.99
0.995,0.995
0.9975,0.995
0.99625,0.995
0.9975,0.99
0.99625,0.99
0.9975,0.99
0.9975,0.995
0.995,0.99
0.995,0.99
0.995,0.995
0.9975,0.995
0.99625,0.99
0.99625,0.995
0.99875,0.99
0.99625,0.99
0.9975,0.995
0.9975,0.99
0.99875,0.99
0.9975,0.99
0.9975,0.995
0.99625,0.99
0.99875,0.99
0.9975,0.995
0.9975,0.995
0.9975,0.99
0.9975,0.995
0.9975,0.995
0.99625,0.995
0.9975,0.99
0.9975,0.995
0.99875,0.995
0.9975,0.99
0.99625,0.99
0.9975,0.995
0.9975,0.995
0.99625,0.995
0.9975,0.99
0.99625,0.995
0.99875,0.99
0.99875,0.99
0.9975,0.995
0.99875,0.995
0.99875,0.995
0.99875,0.995
0.9975,0.995
0.99875,0.99
0.9975,0.995
0.9975,0.995
0.9975,0.99
0.9975,0.99
0.9975,0.995
0.9975,0.99
0.9975,0.995
0.9975,0.995
0.99875,0.99
0.9975,0.99
0.99625,0.99
0.9975,0.995
0.99875,0.995
0.9975,0.995
0.99875,0.995
0.99875,0.99
0.9975,0.995
0.99875,0.995
0.99875,0.99
0.9975,0.995
0.99875,0.995
0.9975,0.995
1.0,0.995
0.9975,0.995
0.9975,0.99
0.99875,0.995
0.99875,0.995
0.99875,0.995
1.0,0.995
0.9975,0.99
0.99875,0.995
0.99875,1.0
0.99875,0.995
1.0,0.995
0.9975,0.99
0.99875,0.995
0.99875,0.99
