train_acc,test_acc
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.87875,0.865
0.8825,0.865
0.91375,0.905
0.93,0.92
0.9675,0.955
0.97125,0.95
0.985,0.975
0.9725,0.955
0.98,0.98
0.9575,0.95
0.97125,0.955
0.9675,0.945
0.9725,0.96
0.98,0.955
0.97,0.965
0.985,0.975
0.94625,0.94
0.975,0.95
0.98625,0.985
0.98,0.965
0.9875,0.985
0.97875,0.97
0.98625,0.975
0.9825,0.96
0.96125,0.95
0.99,0.99
0.97375,0.97
0.96875,0.945
0.98125,0.97
0.98625,0.97
0.98875,0.97
0.97125,0.965
0.98625,0.97
0.99125,0.98
0.97875,0.96
0.9875,0.985
0.9825,0.97
0.96125,0.95
0.9775,0.975
0.985,0.975
0.97,0.97
0.97625,0.96
0.9875,0.99
0.98375,0.96
0.98125,0.97
0.98125,0.98
0.975,0.97
0.99,0.985
0.98875,0.98
0.9825,0.975
0.975,0.97
0.99,0.99
0.98,0.96
0.97375,0.96
0.98625,0.97
0.98625,0.97
0.97,0.96
0.9875,0.99
0.98875,0.98
0.97375,0.96
0.9825,0.97
0.97625,0.96
0.9875,0.99
0.9775,0.965
0.96375,0.955
0.9825,0.97
0.98125,0.975
0.98375,0.97
0.96375,0.955
0.9875,0.985
0.98125,0.96
0.9775,0.96
0.985,0.98
0.9825,0.975
0.98625,0.98
0.97875,0.97
0.96875,0.97
0.9775,0.97
0.98375,0.975
0.98,0.975
0.975,0.965
0.97875,0.98
0.975,0.955
0.97375,0.97
0.985,0.995
0.98625,0.98
0.96375,0.955
0.97375,0.965
0.9925,0.98
0.98125,0.965
0.98875,0.99
0.99125,0.975
0.985,0.985
0.99,0.99
0.97875,0.955
0.98,0.965
0.99125,0.98
0.97125,0.955
0.98375,0.97
0.985,0.975
0.99,0.995
0.97625,0.96
0.975,0.96
0.98875,0.98
0.97,0.975
0.97625,0.975
0.985,0.98
0.9775,0.955
0.98875,0.985
0.98875,0.975
0.9825,0.975
0.98625,0.975
0.97,0.95
0.99,0.98
0.98875,0.98
0.99,0.985
0.9825,0.96
0.97375,0.955
0.98875,0.985
0.9875,0.985
0.985,0.965
0.97875,0.96
0.9875,0.99
0.98625,0.97
0.97375,0.96
0.97875,0.965
0.9875,0.985
0.96625,0.955
0.9875,0.97
0.98625,0.97
0.9875,0.985
0.99,0.985
0.97875,0.955
0.97875,0.96
0.98375,0.98
0.98875,0.98
0.98625,0.96
0.98625,0.965
0.98125,0.97
0.965,0.955
0.98625,0.98
0.99,1.0
0.975,0.97
0.97625,0.955
0.98625,0.985
0.9875,0.985
0.98375,0.975
0.985,0.975
0.9725,0.95
0.9775,0.96
0.98625,0.965
0.9875,0.98
0.98625,0.97
0.98625,0.98
0.99,0.99
0.99,0.985
0.98875,0.985
0.975,0.955
0.96875,0.965
0.9775,0.955
0.955,0.95
0.975,0.96
0.9775,0.965
0.99,0.98
0.97,0.95
0.9825,0.97
0.98625,0.98
0.99,0.98
0.9775,0.96
0.98625,0.98
0.98625,0.985
0.985,0.99
0.98625,0.99
0.98625,0.97
0.98125,0.98
0.985,0.96
0.99125,0.98
0.98375,0.975
0.97625,0.97
0.9725,0.96
0.97125,0.955
0.98875,0.985
0.99,0.975
0.9875,0.98
0.9875,0.97
0.9775,0.955
0.99,0.985
0.9875,0.98
0.9875,0.98
0.99125,0.99
0.975,0.965
0.97875,0.96
0.98375,0.975
0.9875,0.985
0.98125,0.955
